tgl,LP
2010-01-01,0.203225806
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,4.596774194
2010-06-01,4.636666667
2010-07-01,0.332258065
2010-08-01,4.14516129
2010-09-01,3.933333333
2010-10-01,4.709677419
2010-11-01,3.596666667
2010-12-01,0.4
2011-01-01,1.490322581
2011-02-01,4.830434783
2011-03-01,3.527777778
2011-04-01,2.953333333
2011-05-01,4.567741935
2011-06-01,4.56
2011-07-01,5.474193548
2011-08-01,4.106451613
2011-09-01,2.713333333
2011-10-01,3.964516129
2011-11-01,3.583333333
2011-12-01,1.541935484
2012-01-01,0.370967742
2012-02-01,0.3
2012-03-01,0.35483871
2012-04-01,0.413333333
2012-05-01,4.574193548
2012-06-01,4.64
2012-07-01,4.709677419
2012-08-01,3.483870968
2012-09-01,4.11
2012-10-01,2.667741935
2012-11-01,3.82
2012-12-01,2.596774194
2013-01-01,3.609677419
2013-02-01,3.15
2013-03-01,4.558064516
2013-04-01,4.376666667
2013-05-01,4.74516129
2013-06-01,4.71
2013-07-01,4.3
2013-08-01,4.558064516
2013-09-01,3.526666667
2013-10-01,3.306451613
2013-11-01,2.903333333
2013-12-01,1.829032258
2014-01-01,2.370967742
2014-02-01,2.917857143
2014-03-01,2.1
2014-04-01,3.613333333
2014-05-01,4.793548387
2014-06-01,5.043333333
2014-07-01,4.874193548
2014-08-01,4.819354839
2014-09-01,3.096666667
2014-10-01,3.932258065
2014-11-01,4.153333333
2014-12-01,2.932258065
2015-01-01,4.617647059
2015-02-01,4.056
2015-03-01,3.934615385
2015-04-01,5.308333333
2015-05-01,5.429166667
2015-06-01,6.016
2015-07-01,5.603571429
2015-08-01,4.159259259
2015-09-01,1.020833333
2015-10-01,0.47037037
2015-11-01,4.320689655
2015-12-01,4.118518519
2016-01-01,5.3
2016-02-01,2.6
2016-03-01,5.035714286
2016-04-01,4.966666667
2016-05-01,4.832258065
2016-06-01,5.346666667
2016-07-01,6.346666667
2016-08-01,5.329032258
2016-09-01,5.283333333
2016-10-01,4.583333333
2016-11-01,4.144827586
2016-12-01,4.577419355
2017-01-01,4.673333333
2017-02-01,1.976923077
2017-03-01,3.992307692
2017-04-01,5.118181818
2017-05-01,4.066666667
2017-06-01,4.983333333
2017-07-01,5.756521739
2017-08-01,5.064
2017-09-01,3.266666667
2017-10-01,4.892857143
2017-11-01,3.743333333
2017-12-01,4.203703704
2018-01-01,3.492592593
2018-02-01,4.295238095
2018-03-01,3.876
2018-04-01,4.951724138
2018-05-01,4.877419355
2018-06-01,3.193103448
2018-07-01,5.159259259
2018-08-01,5.063333333
2018-09-01,4.407407407
2018-10-01,4.5
2018-11-01,4.744827586
2018-12-01,4.211538462
2019-01-01,4.048148148
2019-02-01,5.156521739
2019-03-01,4.911111111
2019-04-01,5.196296296
2019-05-01,5.93
2019-06-01,5.140740741
2019-07-01,6.596
2019-08-01,4.842857143
2019-09-01,1.846428571
2019-10-01,4.136666667
2019-11-01,4.103703704
2019-12-01,2.99
2020-01-01,4.340740741
2020-02-01,4.076190476
2020-03-01,4.953571429
2020-04-01,4.082758621
2020-05-01,4.976666667
2020-06-01,4.893103448
2020-07-01,5.148275862
2020-08-01,4.448387097
2020-09-01,4.752941176
2020-10-01,4.283870968
2020-11-01,3.703703704
2020-12-01,4.312903226
