tgl,k
2010-01-01,81.32258065
2010-02-01,78.53571429
2010-03-01,78.64516129
2010-04-01,78.9
2010-05-01,78.90322581
2010-06-01,76.16666667
2010-07-01,78.70967742
2010-08-01,78.22580645
2010-09-01,78.06666667
2010-10-01,73.67741935
2010-11-01,77.8
2010-12-01,78.06451613
2011-01-01,82.5483871
2011-02-01,75
2011-03-01,77.41935484
2011-04-01,80.03333333
2011-05-01,77.38709677
2011-06-01,78.7
2011-07-01,75.25806452
2011-08-01,77.4516129
2011-09-01,80.86666667
2011-10-01,81.64516129
2011-11-01,81.26666667
2011-12-01,84.48387097
2012-01-01,75
2012-02-01,82.17241379
2012-03-01,79.06451613
2012-04-01,80.93333333
2012-05-01,80.74193548
2012-06-01,76.86666667
2012-07-01,79.70967742
2012-08-01,80.25806452
2012-09-01,81.16666667
2012-10-01,80.25806452
2012-11-01,82.7
2012-12-01,84.03225806
2013-01-01,78.06451613
2013-02-01,81.78571429
2013-03-01,79.19354839
2013-04-01,77.9
2013-05-01,78.48387097
2013-06-01,71.86666667
2013-07-01,78.12903226
2013-08-01,76.77419355
2013-09-01,78.7
2013-10-01,81.38709677
2013-11-01,82.2
2013-12-01,83.77419355
2014-01-01,80.09677419
2014-02-01,73.85714286
2014-03-01,76.51612903
2014-04-01,78.16666667
2014-05-01,79.48387097
2014-06-01,74.96666667
2014-07-01,74.09677419
2014-08-01,78.67741935
2014-09-01,78.13333333
2014-10-01,79.61290323
2014-11-01,81.36666667
2014-12-01,82.87096774
2015-01-01,82.29032258
2015-02-01,79.17857143
2015-03-01,82.35483871
2015-04-01,82.9
2015-05-01,83.64516129
2015-06-01,81.13333333
2015-07-01,78.58064516
2015-08-01,81.8
2015-09-01,82.66666667
2015-10-01,85.35483871
2015-11-01,85.62068966
2015-12-01,84.62068966
2016-01-01,85.12903226
2016-02-01,84.36363636
2016-03-01,81.29032258
2016-04-01,81.5
2016-05-01,83.80645161
2016-06-01,79.53333333
2016-07-01,81.22580645
2016-08-01,76.35714286
2016-09-01,78.36666667
2016-10-01,78.09677419
2016-11-01,85.36666667
2016-12-01,80.03225806
2017-01-01,80.83870968
2017-02-01,82.89285714
2017-03-01,82.90322581
2017-04-01,82.96551724
2017-05-01,83.37931034
2017-06-01,81.07407407
2017-07-01,80.13793103
2017-08-01,81.44827586
2017-09-01,83.5
2017-10-01,78.5483871
2017-11-01,83.93333333
2017-12-01,82.87096774
2018-01-01,81.35483871
2018-02-01,80.42857143
2018-03-01,82.48387097
2018-04-01,82.76666667
2018-05-01,83.03225806
2018-06-01,81
2018-07-01,80.96774194
2018-08-01,78.4516129
2018-09-01,80.76666667
2018-10-01,85.19354839
2018-11-01,84.4
2018-12-01,83.51612903
2019-01-01,83.70967742
2019-02-01,81.96428571
2019-03-01,78.32258065
2019-04-01,82.16666667
2019-05-01,80.90322581
2019-06-01,83.03333333
2019-07-01,77.93548387
2019-08-01,76.03225806
2019-09-01,77.5
2019-10-01,84.09677419
2019-11-01,85.6
2019-12-01,88.93548387
2020-01-01,86.41935484
2020-02-01,80.91304348
2020-03-01,78.28125
2020-04-01,82.73333333
2020-05-01,79.87096774
2020-06-01,81
2020-07-01,80.93548387
2020-08-01,76.51612903
2020-09-01,79.82352941
2020-10-01,78.51612903
2020-11-01,84.56666667
2020-12-01,80.58064516
